,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,V,PP,BAC,Contract Status Change Date,MLS
1,22159335,A,SFR,6755 S,GARTH AVE  ,LA,103,STD,"$1,795,000.00",$762.86,"4/2,0,0,0",2353/,1973,"11,815/0.27",13/13,N,N,2.5,06/01/22,CLAW
1,22163362,A,SFR,5348 W,57TH ST,LA,103,STD,"$2,299,000.00",$579.68,"6/6,0,0,0",3966/,1955,"7,339/0.16",13/13,Y,N,2.5,06/01/22,CLAW
1,22150263,A,SFR,6407 S,SHERBOURNE DR  ,LA,103,STD,"$2,299,000.00",$634.38,"5/4,0,0,0",3624/,1962,"11,605/0.26",49/49,N,Y,2,04/26/22,CLAW
1,OC22106355,A,SFR/D,6006 S,Le Doux RD  ,LA,103,STD,"$2,495,000.00",$835.01,"4/3,0,0,0",2988/A,1954/ASR,"8,461/0.1942",26/26,N,N,2.5,05/19/22,CRMLSM
1,SB22085912,A,TWNHS/A,2972,Ripple PL   #203,LA,606,STD,"$799,000.00",$497.20,"3/2,0,1,0",1607/A,2016/ASR,,48/48,N,N,2.5,04/25/22,CRMLSM
1,22163135,A,SFR,3261,LARGA AVE  ,LA,606,STD,"$1,000,000.00",$436.49,"5/5,0,0,0",2291/,1910,"6,749/0.15",11/11,N,N,2.5,05/20/22,CLAW
1,DW22045364,A,SFR/D,3032,La Clede AVE  ,LA,606,STD,"$1,099,900.00","$1,462.63","2/2,0,0,0",752/A,1936/ASR,"5,397/0.1239",46/46,N,N,2,03/07/22,CRMLSM
1,V1-12841,A,SFR/D,3780,Edenhurst AVE  ,LA,606,"STD,TRUS","$1,200,000.00","$1,006.71","3/1,0,0,0",1192/P,1923,"4,618/0.106",13/13,Y,N,2,06/01/22,CRMLSF
1,22162899,A,SFR,3711,GLENFELIZ BLVD  ,LA,606,STD,"$1,249,000.00","$1,200.96","2/1,0,0,0",1040/A,1925/ASR,"4,621/0.1",12/12,N,N,2.5,06/02/22,CLAW
1,22166065,A,SFR,3828,SENECA AVE  ,LA,606,STD,"$1,275,000.00","$1,373.92","3/1,0,0,0",928/,1925,"5,399/0.12",5/5,N,N,2.5,06/09/22,CLAW
1,AR22018149,A,SFR/D,4014,Baywood ST  ,LA,606,STD,"$1,280,000.00",$747.23,"4/2,0,0,0",1713/A,1950/PUB,"7,342/0.1685",47/47,Y,N,2,04/15/22,CRMLSM
1,22160425,A,SFR,3506,MADERA AVE  ,LA,606,STD,"$1,300,000.00",,"2/1,0,0,0",/OTH,1925,"6,752/0.15",5/5,,N,2.5,06/09/22,CLAW
1,TR22104853,A,SFR/D,4030,Verdant ST  ,LA,606,STD,"$2,875,000.00","$1,333.49","3/3,0,0,0",2156/A,1942/SEE,"24,769/0.5686",22/22,Y,Y,2*,05/20/22,CRMLSM
1,22153869,A,SFR,2930,DENBY AVE  ,LA,606,STD,"$6,995,000.00","$1,165.44","0/4,0,2,0",6002/D,1960,"11,045/0.25",38/38,Y,N,2.5,05/06/22,CLAW
1,222002502,A,SFR,5086,Shearin AVE  ,LA,618,STD,"$675,000.00","$1,406.25","1/1,0,0,0",480/E,1922/EST,"2,850/0.0654",20/20,,,2.5,05/25/22,VCRDS
1,SR22041807,A,SFR/D,2760,Fyler PL  ,LA,618,STD,"$770,000.00",$660.38,"3/3,0,0,0",1166/E,1925/ASR,"4,950/0.1136",84/84,Y,N,1,03/03/22,CRIS
1,DW22001752,A,SFR/D,1429,El Paso DR  ,LA,618,"STD,TRUS","$869,900.00","$1,021.01","2/1,0,0,0",852/A,1952/ASR,"4,870/0.1118",145/145,Y,N,2.5,01/03/22,CRMLSM
1,DW22092048,A,SFR/D,2750,Rock Glen AVE  ,LA,618,STD,"$999,900.00",$794.20,"2/1,0,1,0",1259/A,1928/ASR,"6,712/0.1541",24/24,Y,N,2,05/10/22,CRMLSM
1,22160273,A,SFR,1558,CHIA WAY  ,LA,618,STD,"$1,089,000.00",$618.40,"3/2,0,1,0",1761/A,2018/ASR,"1,249/0.02",18/18,Y,N,2.5,05/27/22,CLAW
1,22164675,A,SFR,4796,ROCK ROW DR  ,LA,618,STD,"$1,099,000.00",$598.58,"3/3,0,0,0",1836/A,2010/ASR,"1,325/0.03",5/5,Y,N,2.5,06/09/22,CLAW
1,GD22113055,A,SFR/D,2468,Loy LN  ,LA,618,TRUS,"$1,275,000.00",$752.66,"2/1,1,0,0",1694/A,1957/ASR,"11,195/0.257",19/19,Y,N,2,05/26/22,CRMLSM
1,22161239,A,SFR,5179,HIGH CREST AVE  ,LA,618,STD,"$1,395,000.00",$782.83,"3/2,0,0,0",1782/A,1940/ASR,"6,212/0.14",11/11,Y,N,2.5,06/03/22,CLAW
1,P1-9729,A,SFR/D,1995,Escarpa DR  ,LA,618,STD,"$1,500,000.00","$1,114.41","4/2,1,0,0",1346/T,1959/ASR,"6,468/0.14",16/16,Y,N,2.5,05/29/22,CRMLSF
1,RS22044658,A,SFR/D,1220,Valrose Court   ,LA,618,STD,"$1,795,000.00",$573.67,"5/2,3,0,0",3129/P,2007/ASR,"6,960/0.1598",96/96,Y,N,2,03/09/22,CRMLSM
1,BB22125964,A,SFR/D,5349,La Roda AVE  ,LA,618,STD,"$1,975,000.00",$952.73,"2/2,0,0,0",2073/A,1957/ASR,"43,560/1",3/3,Y,Y,2.25,06/10/22,CRMLSM
1,GD22117650,A,SFR/D,5259,Live Oak View AVE  ,LA,618,STD,"$3,250,000.00",$924.87,"3/5,0,0,0",3514/S,2022/SLR,"7,506/0.1723",8/8,Y,Y,2,06/06/22,CRMLSM
1,DW22105813,A,SFR/D,5022,Lynnfield ST  ,LA,621,STD,"$699,000.00",$693.45,"3/1,0,0,0",1008/A,1956/ASR,"6,789/0.1559",27/62,Y,N,2,05/17/22,CRMLSM
1,PW22128656,A,SFR/D,4516,Bowman BLVD  ,LA,621,AUC,"$700,000.00",$845.41,"2/1,0,0,0",828/A,1926/ASR,"5,299/0.1216",0/0,N,N,2*,06/13/22,CRMLSM
1,AR21268383,A,SFR/D,5301,Huntington DR  N,LA,621,STD,"$700,000.00",$821.60,"2/1,0,0,0",852/P,1920/PUB,"6,055/0.139",102/102,N,N,2,12/20/21,CRMLSM
1,TR22094497,A,SFR/D,1838,Marney AVE  ,LA,621,STD,"$728,000.00",$500.34,"4/2,0,0,0",1455/A,1939/ASR,"3,935/0.0903",39/39,N,N,2.25,05/05/22,CRMLSM
1,MB22116255,A,SFR/D,4209,Drucker AVE  ,LA,621,STD,"$749,900.00",$882.24,"2/0,1,0,0",850/A,1934/ASR,"3,745/0.086",14/21,Y,N,2,05/30/22,CRMLSM
1,22156681,A,SFR,4714,CATALPA ST  ,LA,621,STD,"$799,000.00",$481.04,"4/2,0,0,0",1661/A,1924/ASR,"4,803/0.11",26/26,Y,N,2.5,05/19/22,CLAW
1,CV22112134,A,SFR/D,2940,Hollister AVE  ,LA,621,STD,"$850,000.00",$701.90,"3/1,0,1,0",1211/A,1924/ASR,"5,620/0.129",17/17,N,N,2.5,05/26/22,CRMLSM
1,WS22080995,A,SFR/D,2925,Phelps AVE  ,LA,621,STD,"$850,000.00",$970.32,"3/1,0,0,0",876/A,1924/ASR,"3,292/0.0756",54/54,Y,N,2,04/20/22,CRMLSM
1,22160739,A,SFR,2767,CHADWICK CIR  ,LA,621,STD,"$875,000.00",$500.86,"3/2,0,1,0",1747/A,1991/ASR,"5,951/0.13",13/13,Y,N,2.5,06/01/22,CLAW
1,PW22054805,A,SFR/D,4540,Catalpa ST  ,LA,621,STD,"$879,900.00",$789.15,"2/1,0,0,0",1115/A,1949/ASR,"5,009/0.115",67/67,Y,N,2,03/18/22,CRMLSM
1,P1-9902,A,SFR/D,3712,Lowell AVE  ,LA,621,STD,"$895,000.00",$685.82,"3/1,0,0,0",1305/A,1924/ASR,"4,797/0.11",6/6,N,N,2.5,05/26/22,CRMLSF
1,CV22111201,A,SFR/D,3330,Minto CT  ,LA,621,STD,"$898,000.00",$798.93,"3/2,0,0,0",1124/A,1927/ASR,"4,689/0.1076",20/20,N,N,2,05/25/22,CRMLSM
1,PW22115180,A,SFR/D,4784,Twining ST  ,LA,621,STD,"$899,900.00",$744.95,"3/1,1,0,0",1208/A,1926/ASR,"4,427/0.1016",13/13,N,N,2.5,05/30/22,CRMLSM
1,P1-9344,A,SFR/D,2475 N,Ditman AVE  ,LA,621,STD,"$949,000.00",$718.94,"3/1,1,0,0",1320/A,1957/ASR,"7,179/0.16",42/42,Y,N,2,05/02/22,CRMLSF
1,GD22104681,A,SFR/D,4257,Stillwell AVE  ,LA,621,STD,"$999,999.00",$664.89,"3/2,0,0,0",1504/A,1989/ASR,"10,922/0.2507",27/27,Y,N,2.5,05/18/22,CRMLSM
1,WS22115463,A,SFR/D,5325,Edna ST  ,LA,621,STD,"$1,020,000.00",$685.48,"4/3,0,0,0",1488/A,1921/ASR,"7,501/0.1722",14/67,N,N,2,05/31/22,CRMLSM
1,CV22061982,A,SFR/D,4940,La Calandria WAY  ,LA,621,STD,"$1,074,950.00",$532.68,"4/2,0,0,0",2018/A,1964/ASR,"5,944/0.1365",77/143,Y,N,2,03/28/22,CRMLSM
1,22166723,A,SFR,4911,KIMBALL ST  ,LA,621,STD,"$1,199,000.00",$574.23,"4/2,0,1,0",2088/,2018,"5,136/0.11",4/4,Y,N,2.5,06/10/22,CLAW
1,PW22059988,A,SFR/D,2631,Round DR  ,LA,621,STD,"$1,199,000.00",$726.67,"3/1,2,0,0",1650/S,2022/SLR,"4,924/0.113",39/39,Y,N,2,03/23/22,CRMLSM
1,AR22100068,A,SFR/D,2916,Delor DR  ,LA,621,STD,"$1,249,000.00",$597.04,"3/2,0,1,0",2092/A,2021/PUB,"5,055/0.116",33/33,Y,N,2,05/02/22,CRMLSM
1,22164537,A,SFR,4050,JENNINGS DR  ,LA,621,STD,"$1,650,000.00",$618.44,"4/3,0,1,0",2668/,2020,"7,208/0.16",9/9,Y,N,2.5,06/05/22,CLAW
1,AR22109660,A,SFR/D,4240,Barrett   ,LA,621,STD,"$1,768,000.00",$495.65,"5/7,0,0,0",3567/A,2016/PUB,"10,461/0.2402",10/10,Y,N,2,05/23/22,CRMLSM
1,CV22069878,A,SFR/D,3204,Verdugo RD  ,LA,623,STD,"$869,000.00",$745.92,"3/1,0,0,0",1165/A,1921/ASR,"3,680/0.0845",56/56,Y,N,2,04/19/22,CRMLSM
1,CV22048468,A,SFR/D,3426,The Paseo   ,LA,623,STD,"$900,000.00",$968.78,"3/2,0,0,0",929/A,1922/ASR,"5,760/0.1322",96/96,Y,N,2.5,03/10/22,CRMLSM
1,21107333,A,SFR,3423,Cazador ST  ,LA,623,PRO,"$900,000.00","$1,679.10","1/1,0,0,0",536/,1937,"6,491/0.14",143/143,Y,N,2.5,11/22/21,CLAW
1,22156301,A,SFR,2683,MOSS AVE  ,LA,623,STD,"$999,000.00",$820.20,"3/2,0,0,0",1218/OTH,1921,"7,505/0.17",33/33,N,N,2.5,05/12/22,CLAW
1,P1-9795,A,SFR/D,3937,Roderick RD  ,LA,623,STD,"$1,095,000.00",$736.88,"2/1,0,1,0",1486/P,1927,"5,601/0.12",12/12,N,N,2.5,06/02/22,CRMLSF
1,22164949,A,SFR,2508 W,AVENUE 35,LA,623,STD,"$1,199,000.00",$861.35,"4/2,0,1,0",1392/A,1923,"4,947/0.11",8/8,N,N,2.5,06/06/22,CLAW
1,22160085,A,SFR,4517,CALEDONIA WAY  ,LA,623,STD,"$1,200,000.00",$888.23,"2/1,0,0,0",1351/A,1956/ASR,"6,098/0.14",14/14,Y,N,2.5*,05/31/22,CLAW
1,22147247,A,SFR,3745,ACKERMAN DR  ,LA,623,STD,"$1,216,000.00",$933.95,"3/2,0,0,0",1302/A,1978/ASR,"6,272/0.14",57/57,N,N,2,04/18/22,CLAW
1,22152487,A,SFR,3610,PARRISH AVE  ,LA,623,STD,"$1,365,000.00",$631.94,"4/3,0,1,0",2160/A,2007/ASR,"5,124/0.11",43/43,N,N,2,05/02/22,CLAW
1,TR22119114,A,SFR/D,3426,Division ST  ,LA,623,STD,"$1,649,000.00",$788.62,"5/4,0,0,0",2091/A,1923/ASR,"6,996/0.1606",11/11,N,N,2.5,06/02/22,CRMLSM
1,22162515,A,SFR,2287,CAZADOR DR  ,LA,623,STD,"$1,875,000.00",$922.28,"4/3,0,0,0",2033/D,1930,"12,780/0.29",12/12,Y,N,2.5,06/02/22,CLAW
1,CV22039460,A,SFR/D,3173,Weldon AVE  ,LA,623,STD,"$2,000,000.00",$684.93,"5/4,0,0,0",2920/A,2006/ASR,"20,960/0.4812",97/97,Y,N,2,02/26/22,CRMLSM
1,22166587,A,SFR,5236,BUCHANAN ST  ,LA,632,PRO,"$429,000.00",$595.83,"2/1,0,0,0",720/,1921,"4,814/0.1105",4/4,N,N,2,06/10/22,CLAW
1,PW22117945,A,CONDO/A,4499,Via Marisol    #228B,LA,632,STD,"$474,999.00",$597.48,"1/1,0,0,0",795/AP,1981/ASR,"222,446/5.1067",12/12,Y,N,2,06/02/22,CRMLSM
1,22165341,A,SFR,309 1/2,Newland ST  ,LA,632,STD,"$549,000.00",$831.82,"2/1,0,0,0",660/OTH,1923/ASR,"6,401/0.14",5/25,N,N,2.5,06/09/22,CLAW
1,22167875,A,SFR,4015,SHELBURN CT  ,LA,632,STD,"$687,000.00","$1,272.22","1/1,0,0,0",540/T,1926/ASR,"2,521/0.05",0/0,N,N,2.5,06/14/22,CLAW
1,GD22128296,A,SFR/D,141 S,Avenue 64,LA,632,STD,"$688,000.00","$1,007.32","2/1,0,0,0",683/A,1924/ASR,"2,118/0.0486",0/0,Y,N,2,06/14/22,CRMLSM
1,AR22077009,A,SFR/D,1048,Dexter ST  ,LA,632,STD,"$849,906.00",$919.81,"2/1,0,0,0",924/A,1972/ASR,"5,639/0.1295",60/60,Y,N,2.5,04/15/22,CRMLSM
1,21741094,A,SFR,118 S,Avenue 50    #604,LA,632,STD,"$879,000.00",$616.84,"2/3,0,0,0",1425/B,2018,"22,308",379/379,Y,N,2.5,05/31/21,CLAW
1,22165133,A,SFR,219 N,AVENUE 59,LA,632,STD,"$899,000.00","$1,085.75","2/2,0,0,0",828/A,1907/ASR,"3,603/0.08",8/42,N,N,2.5,06/06/22,CLAW
1,PW22087808,A,SFR/D,233,South Avenue 50,LA,632,STD,"$975,000.00",$643.14,"3/1,0,0,0",1516/A,1946/ASR,"9,216/0.2116",40/40,Y,N,2,05/02/22,CRMLSM
1,DW22074329,A,SFR/D,4922,Lynn ST  ,LA,632,STD,"$990,000.00",$679.95,"4/2,0,0,0",1456/A,1967/ASR,"6,299/0.1446",62/62,Y,N,2,04/11/22,CRMLSM
1,DW22125943,A,SFR/D,5152,Range View AVE  ,LA,632,STD,"$999,000.00",$757.97,"3/3,0,0,0",1318/A,1913/ASR,"5,200/0.1194",4/4,Y,N,2,06/10/22,CRMLSM
1,DW22091707,A,SFR/D,960,El Paso DR  ,LA,632,STD,"$999,000.00",$845.18,"3/2,0,0,0",1182/A,1931/ASR,"5,060/0.1162",37/48,Y,N,2,05/02/22,CRMLSM
1,PW22090941,A,SFR/D,816,Terrace 49,LA,632,STD,"$999,000.00",$722.34,"3/0,2,0,0",1383/T,1900/ASR,"3,033/0.0696",42/42,N,N,3,05/03/22,CRMLSM
1,DW22073499,A,SFR/A,127 S,Avenue 55,LA,632,STD,"$999,999.00",$647.67,"3/2,0,0,0",1544/A,1930/ASR,"17,676/0.4058",47/47,N,N,2,04/08/22,CRMLSM
1,22163063,A,SFR,4112,SHELBURN CT  ,LA,632,STD,"$1,075,000.00",$844.46,"2/2,0,0,0",1273/T,1922,"4,799/0.11",12/12,Y,N,2.5,06/02/22,CLAW
1,22167399,A,SFR,635 N,AVENUE 48,LA,632,STD,"$1,100,000.00",$679.43,"3/3,0,0,0",1619/,1993,"5,594/0.1284",0/0,Y,N,2.5,06/14/22,CLAW
1,DW22064265,A,SFR/D,1717,Phillips WAY  ,LA,632,STD,"$1,199,000.00",$783.66,"3/2,0,0,0",1530/A,1912/ASR,"5,662/0.13",41/41,Y,N,2,03/28/22,CRMLSM
1,GD22088544,A,SFR/D,5918,Monte Vista ST  ,LA,632,STD,"$1,200,000.00",$738.92,"3/2,0,0,0",1624/P,1922/ASR,"7,165/0.1645",46/227,N,N,2.5,04/29/22,CRMLSM
1,22165759,A,SFR,4657,TOLAND WAY  ,LA,632,STD,"$1,249,000.00",$690.06,"4/2,0,1,0",1810/,1927,"5,409/0.12",6/6,Y,N,2.5,06/08/22,CLAW
1,222002070,A,SFR/A,5682,Aldama ST  ,LA,632,STD,"$1,275,000.00",$580.60,"4/3,0,0,0",2196/P,1980/ASR,"2,946/0.06",33/33,,,2,05/03/22,VCRDS
1,22151193,A,SFR,6177,OUTLOOK AVE  ,LA,632,STD,"$1,295,000.00",$978.84,"2/2,0,0,0",1323/,1924,"5,004/0.11",47/226,Y,N,2.5,04/28/22,CLAW
1,HD22072563,A,SFR/D,5904,Annan WAY  ,LA,632,STD,"$1,299,999.00",$877.19,"4/2,0,0,0",1482/A,1926/ASR,"3,807/0.0874",64/64,Y,N,2,04/11/22,CRMLSM
1,22166211,A,SFR,315 N,AVENUE 51,LA,632,STD,"$1,349,000.00",$782.94,"3/2,0,1,0",1723/,1912,"5,922/0.13",5/5,N,N,2.5,06/09/22,CLAW
1,22159197,A,SFR,4806,MALTA ST  ,LA,632,STD,"$1,399,000.00",$813.37,"3/1,1,0,0",1720/AP,1932,"5,600/0.12",26/26,Y,N,2.5,05/19/22,CLAW
1,22147243,A,SFR,1536 N,MERCURY DR  ,LA,632,STD,"$1,434,000.00",$578.69,"4/3,0,1,0",2478/A,2014/ASR,"7,530/0.17",57/57,N,N,2,04/18/22,CLAW
1,P1-8921,A,SFR/D,848,Cooper AVE  ,LA,632,TRUS,"$1,470,000.00",$866.23,"3/1,1,0,0",1697/P,1953,"18,865/0.43",71/71,Y,N,2.5,04/04/22,CRMLSF
1,22153537,A,SFR,6414,RUBY ST  ,LA,632,STD,"$1,495,000.00","$1,026.08","3/2,0,0,0",1457/,1908,"5,593/0.12",39/39,N,N,2.5,05/06/22,CLAW
1,GD22088613,A,SFR/A,5910,Monte Vista ST  ,LA,632,STD,"$1,600,000.00",$610.45,"4/4,0,0,0",2621/A,1905/ASR,"7,312/0.1679",46/46,N,N,2.5,04/29/22,CRMLSM
1,22165081,A,CONDO,4501,FINLEY AVE   #6,LA,637,STD,"$829,000.00",$797.88,"2/2,0,0,0",1039/,1957,"8,160/0.18",8/8,Y,N,2.5,06/06/22,CLAW
1,22152829,A,CONDO,4711,AMBROSE AVE   #204,LA,637,STD,"$959,000.00",$630.92,"3/2,0,0,0",1520/,2007,"14,782/0.33",42/42,Y,N,2,05/02/22,CLAW
1,22164667,A,SFR,1701,DELOZ AVE  ,LA,637,STD,"$998,500.00",,"1/2,0,0,0",/OTH,1922/ASR,"4,059/0.09",5/5,Y,N,2.5,06/09/22,CLAW
1,22145581,A,TWNHS,4437,AVOCADO ST   #101,LA,637,STD,"$1,009,000.00",$745.20,"2/2,0,1,0",1354/A,1991/ASR,"12,552/0.28",40/40,Y,N,2,04/26/22,CLAW
1,22152905,A,SFR,3906,TRACY ST  ,LA,637,STD,"$1,450,000.00",$744.74,"3/2,0,0,0",1947/A,1984/ASR,"5,200/0.11",41/41,N,N,2.5,05/04/22,CLAW
1,22167013,A,SFR,2533,WILD OAK DR  ,LA,637,STD,"$1,495,000.00",$975.85,"2/2,0,0,0",1532/T,1960/ASR,"8,394/0.1927",1/1,Y,N,2.5,06/13/22,CLAW
1,22156799,A,SFR,3827,FRANKLIN AVE  ,LA,637,STD,"$1,495,000.00","$1,130.01","2/1,0,0,0",1323/A,1957/ASR,"3,448/0.07",32/32,Y,N,2.5,05/13/22,CLAW
1,22162283,A,SFR,2236,RONDA VISTA DR  ,LA,637,STD,"$1,575,000.00","$1,014.82","2/1,0,1,0",1552/A,1961/ASR,"5,530/0.12",5/5,Y,N,2.5,06/09/22,CLAW
1,GD22117898,A,SFR/D,3844,Tracy ST  ,LA,637,STD,"$1,675,000.00",$938.90,"3/2,0,0,0",1784/A,1939/PUB,"5,552/0.1275",11/11,Y,N,2.5,06/02/22,CRMLSM
1,22167273,A,SFR,2001 N,NEW HAMPSHIRE AVE  ,LA,637,STD,"$1,895,000.00",$964.38,"4/3,0,0,0",1965/,1923,"7,796/0.17",1/1,Y,Y,2.5,06/13/22,CLAW
1,21753966,A,SFR,2606,Canyon DR  ,LA,637,STD,"$2,100,000.00",$813.64,"4/4,0,0,0",2581/,1999,"9,281/0.21",320/320,Y,N,2.5,06/28/21,CLAW
1,PW22086718,A,SFR/D,4534,Kingswell,LA,637,STD,"$2,299,000.00",$483.59,"5/4,0,0,0",4754/A,1911/ASR,"6,754/0.1551",48/48,N,Y,2.25,04/27/22,CRMLSM
1,22149865,A,SFR,2300,RONDA VISTA DR  ,LA,637,STD,"$2,395,000.00",$880.84,"3/3,0,1,0",2719/,1949,"4,826/0.11",50/50,Y,N,2.5,04/25/22,CLAW
1,22159589,A,SFR,1941 N,SERRANO AVE  ,LA,637,STD,"$2,489,000.00","$1,085.00","3/3,0,1,0",2294/A,1925/ASR,"8,219/0.18",15/15,Y,,2.5,05/30/22,CLAW
1,P1-6818,A,SFR/D,2406,Lyric AVE  ,LA,637,STD,"$2,695,000.00",$849.62,"4/1,3,2,0",3172/D,2021/SLR,"4,859/0.11",263/263,Y,N,2,09/24/21,CRMLSF
1,SR22124661,A,SFR/D,2019,De Mille DR  ,LA,637,STD,"$2,699,000.00","$1,344.79","3/3,0,1,0",2007/A,1925/ASR,"3,468/0.0796",5/215,Y,N,2.5,06/09/22,CRIS
1,22161437,A,SFR,2014 N,KENMORE AVE  ,LA,637,STD,"$2,790,000.00",$835.33,"5/6,0,0,0",3340/A,1929/ASR,"6,630/0.15",15/15,Y,N,2.5,05/30/22,CLAW
1,22166133,A,SFR,4321,PROSPECT AVE  ,LA,637,STD,"$2,795,000.00",$772.31,"5/4,0,1,0",3619/E,2008,"6,750/0.155",5/5,Y,N,2.5,06/09/22,CLAW
1,22154351,A,SFR,3651,HOLBORO DR  ,LA,637,STD,"$2,800,000.00","$1,036.65","4/3,0,0,0",2701/,1928,"5,084/0.11",17/17,Y,N,2.5,05/28/22,CLAW
1,22158131,A,SFR,5693,SPREADING OAK DR  ,LA,637,STD,"$2,850,000.00","$1,003.52","3/2,0,0,0",2840/,1924,"4,841/0.11",28/28,Y,N,2.5,05/17/22,CLAW
1,22163821,A,SFR,5712,SPRING OAK DR  ,LA,637,STD,"$3,795,000.00","$1,141.35","5/4,0,1,0",3325/OTH,1939,"6,678/0.15",12/28,N,N,2.5,06/02/22,CLAW
1,22154055,A,SFR,5611,PARK OAK PL  ,LA,637,STD,"$3,995,000.00","$1,012.42","4/4,0,0,0",3946/,1948,"18,885/0.43",36/36,Y,N,2.5,05/09/22,CLAW
1,22161031,A,SFR,4817,GLENCAIRN RD  ,LA,637,STD,"$4,000,000.00","$1,275.92","4/4,0,1,0",3135/A,1933/ASR,"11,464/0.26",20/20,Y,N,2.5,05/25/22,CLAW
1,22125551,A,SFR,5370,Los Feliz BLVD  ,LA,637,STD,"$4,995,000.00",$818.05,"6/6,1,1,0",6106/A,1928/ASR,"15,213/0.34",120/230,Y,Y,2,02/14/22,CLAW
1,BB22113148,A,SFR/D,2035,De Mille DR  ,LA,637,STD,"$6,595,000.00","$1,376.25","5/5,0,0,0",4792/A,1953/ASR,"13,721/0.315",11/11,Y,Y,2.5,05/26/22,CRMLSM
1,22153193,A,SFR,2673,ABERDEEN AVE  ,LA,637,STD,"$6,950,000.00","$1,240.19","5/6,0,1,0",5604/A,1930/ASR,"19,634/0.45",25/517,,Y,2.5,05/20/22,CLAW
1,22134955,A,SFR,2576,Aberdeen AVE  ,LA,637,STD,"$7,199,000.00","$1,173.24","4/5,0,0,0",6136/,1955/ASR,"18,290/0.41",97/97,Y,Y,2.5,03/09/22,CLAW
1,22146435,A,SFR,4915,LOS FELIZ BLVD  ,LA,637,STD,"$11,800,000.00",,"6/4,1,1,0",/,1927,"36,019/0.82",56/56,Y,N,2.5,04/18/22,CLAW
1,22162065,A,CONDO,4239,VIA ARBOLADA    #305,LA,676,STD,"$575,000.00",$562.07,"2/2,0,0,0",1023/A,1982/ASR,"162,131/3.72",1/1,,N,2.5,06/13/22,CLAW
1,PF22096855,A,CONDO/A,4040,Via Marisol    #320,LA,676,STD,"$599,000.00",$544.55,"2/1,1,0,0",1100/A,1981/ASR,"604,644/13.8807",22/22,Y,N,2,05/16/22,CRMLSM
1,P1-9832,A,TWNHS/A,4225,Via Arbolada    #513,LA,676,STD,"$769,000.00",$523.49,"2/2,0,1,0",1469/A,1983/ASR,"696,089/15.98",11/11,Y,N,2.5,06/03/22,CRMLSF
1,22155235,A,SFR,6210,LOMITAS DR  ,LA,676,NOD,"$1,450,000.00",$543.68,"3/4,0,0,0",2667/,2004,"6,436/0.14",35/35,Y,N,2.5,05/10/22,CLAW
1,PW22115582,A,SFR/D,3936,Collis AVE  ,LA,676,STD,"$1,499,000.00","$1,010.11","3/2,0,0,0",1484/A,1947/PUB,"7,508/0.1724",14/14,Y,N,0.4,05/31/22,CRMLSM
